Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct,
SBIN.NS,1,8/9/2006,8/10/2006,64.49,63.58,2,-1.41,
SBIN.NS,2,8/16/2006,8/29/2006,66.24,63.48,10,-4.17,
SBIN.NS,3,8/30/2006,12/11/2006,69.39,92.70,71,33.59,
SBIN.NS,4,4/24/2007,4/25/2007,84.49,82.88,2,-1.91,
SBIN.NS,5,5/14/2007,6/12/2007,89.89,97.54,22,8.51,
SBIN.NS,6,6/21/2007,7/27/2007,108.99,112.64,27,3.35,
SBIN.NS,7,8/6/2007,8/16/2007,126.72,116.70,8,-7.91,
SBIN.NS,8,9/13/2007,10/17/2007,126.17,134.61,24,6.69,
SBIN.NS,9,10/26/2007,12/19/2007,156.71,168.82,38,7.73,
SBIN.NS,10,5/4/2009,5/12/2009,110.67,100.62,7,-9.09,
SBIN.NS,11,5/18/2009,6/15/2009,127.71,133.16,21,4.27,
SBIN.NS,12,8/3/2009,8/12/2009,152.12,138.36,8,-9.05,
SBIN.NS,13,9/8/2009,10/27/2009,155.99,183.29,32,17.50,
SBIN.NS,14,4/5/2010,4/7/2010,177.01,174.38,3,-1.49,
SBIN.NS,15,4/22/2010,5/17/2010,184.04,180.91,18,-1.70,
SBIN.NS,16,6/11/2010,10/18/2010,195.42,261.68,91,33.91,
SBIN.NS,17,11/4/2010,11/11/2010,286.74,266.33,5,-7.12,
SBIN.NS,18,4/25/2011,4/28/2011,243.76,238.43,4,-2.19,
SBIN.NS,19,1/24/2012,1/30/2012,172.67,167.76,4,-2.84,
SBIN.NS,20,2/6/2012,2/27/2012,182.98,185.56,15,1.41,
SBIN.NS,21,6/6/2012,7/23/2012,185.93,180.43,34,-2.96,
SBIN.NS,22,9/21/2012,10/5/2012,190.67,180.07,10,-5.56,
SBIN.NS,23,12/5/2012,2/4/2013,195.72,206.46,43,5.49,
SBIN.NS,24,4/18/2013,4/30/2013,198.12,194.16,7,-2.00,
SBIN.NS,25,5/15/2013,5/23/2013,205.27,194.87,7,-5.07,
SBIN.NS,26,12/9/2013,12/11/2013,166.08,159.84,3,-3.76,
SBIN.NS,27,3/24/2014,7/9/2014,152.93,226.89,74,48.36,
SBIN.NS,28,9/11/2014,9/24/2014,232.02,220.95,10,-4.77,
SBIN.NS,29,10/28/2014,12/16/2014,236.81,264.15,34,11.55,
SBIN.NS,30,1/15/2015,1/30/2015,285.5,275.48,11,-3.51,
SBIN.NS,31,8/3/2015,8/4/2015,253.67,252.76,2,-0.36,
SBIN.NS,32,5/31/2016,6/1/2016,184.99,181.45,2,-1.91,
SBIN.NS,33,6/7/2016,9/27/2016,192.17,229.09,77,19.21,
SBIN.NS,34,11/10/2016,11/22/2016,257.23,232.13,8,-9.76,
SBIN.NS,35,1/27/2017,5/23/2017,243.65,263.59,78,8.18,
SBIN.NS,36,7/31/2017,8/10/2017,288.35,270.01,9,-6.36,
SBIN.NS,37,10/25/2017,12/1/2017,299.79,287.50,28,-4.10,
SBIN.NS,38,1/24/2018,2/2/2018,304.4,281.07,7,-7.67,
SBIN.NS,39,6/12/2018,6/14/2018,260.99,260.46,3,-0.20,
SBIN.NS,40,7/25/2018,9/5/2018,250.84,268.52,29,7.05,
SBIN.NS,41,11/5/2018,12/7/2018,272.16,253.51,23,-6.85,
SBIN.NS,42,12/19/2018,1/22/2019,277.46,265.95,24,-4.15,
SBIN.NS,43,3/13/2019,5/8/2019,270.49,277.70,35,2.66,
SBIN.NS,44,5/20/2019,7/22/2019,318.06,324.75,45,2.10,
SBIN.NS,45,11/5/2019,11/13/2019,294.53,288.82,6,-1.94,
SBIN.NS,46,11/18/2019,12/6/2019,299.98,294.18,15,-1.93,
SBIN.NS,47,11/5/2020,12/21/2020,201.75,231.70,32,14.85,
SBIN.NS,48,12/29/2020,1/25/2021,256.42,259.19,20,1.08,
SBIN.NS,49,2/2/2021,3/5/2021,307.36,351.69,24,14.42,
SBIN.NS,50,5/17/2021,6/18/2021,353.49,377.41,25,6.77,
SBIN.NS,51,7/29/2021,8/10/2021,411.19,397.81,9,-3.25,
SBIN.NS,52,9/15/2021,11/17/2021,413.33,458.83,44,11.01,
SBIN.NS,53,1/10/2022,2/14/2022,469.02,466.96,25,-0.44,
SBIN.NS,54,7/7/2022,7/14/2022,460.35,453.71,6,-1.44,
SBIN.NS,55,7/19/2022,9/26/2022,470.95,506.30,47,7.51,
SBIN.NS,56,10/24/2022,12/21/2022,539.56,564.32,41,4.59,
SBIN.NS,57,4/28/2023,5/10/2023,546.94,535.33,8,-2.12,
SBIN.NS,58,5/29/2023,6/23/2023,562.73,540.83,20,-3.89,
SBIN.NS,59,7/17/2023,8/3/2023,579.55,566.18,14,-2.31,
SBIN.NS,60,9/13/2023,10/13/2023,575.07,556.08,21,-3.30,
SBIN.NS,61,12/4/2023,1/23/2024,573.38,591.75,35,3.20,
SBIN.NS,62,2/7/2024,3/14/2024,651.04,715.75,26,9.94,
SBIN.NS,63,4/25/2024,6/4/2024,783.56,814.48,27,3.95,
SBIN.NS,64,7/15/2024,8/5/2024,864,822.27,15,-4.83,
SBIN.NS,65,10/29/2024,11/4/2024,816.31,795.49,5,-2.55,
SBIN.NS,66,11/5/2024,11/13/2024,832.48,799.88,7,-3.92,
SBIN.NS,67,12/5/2024,12/19/2024,848.41,809.58,11,-4.58,
SBIN.NS,68,4/17/2025,4/30/2025,781.75,769.59,9,-1.56,
SBIN.NS,69,5/30/2025,7/29/2025,812.3,794.61,43,-2.18,
SBIN.NS,70,9/17/2025,2/2/2026,857.15,1014.72,94,18.38,
,,,,,,1644.00,159.17,sum
,,,,,,23.48571429,2.273840013,avg
