Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct
WINDLAS.NS,1,2022-09-07,2022-09-08,229.31,224.1738,2,-2.23984998473682
WINDLAS.NS,2,2022-09-13,2022-09-26,247.09,221.64533333333335,10,-10.297732270292869
WINDLAS.NS,3,2022-11-07,2022-12-22,247.63,241.37868173162974,33,-2.5244591803780865
WINDLAS.NS,4,2023-05-02,2023-08-04,254.47,307.75958433551006,68,20.941401475816427
WINDLAS.NS,5,2023-08-10,2023-09-12,372.93,352.9931173998619,23,-5.346012013015343
WINDLAS.NS,6,2023-11-10,2024-01-23,406.03,452.1026544413844,49,11.34710598758329
WINDLAS.NS,7,2024-02-08,2024-02-13,515.6,465.9796428447149,4,-9.623808602654217
WINDLAS.NS,8,2024-05-21,2024-06-04,600.39,548.4733395374109,11,-8.647156092304852
WINDLAS.NS,9,2024-06-06,2024-07-15,656.33,679.1063872308581,27,3.4702645362634748
WINDLAS.NS,10,2024-07-29,2024-08-13,759.78,753.0446647808017,12,-0.8864849323749381
WINDLAS.NS,11,2024-09-05,2024-09-27,895.07,820.9378122248181,17,-8.282278232449073
WINDLAS.NS,12,2024-10-11,2024-11-12,944.83,980.7934588458929,23,3.806341759458621
WINDLAS.NS,13,2025-03-24,2025-04-07,964.85,953.0532000000001,10,-1.2226563714566991
WINDLAS.NS,14,2025-07-24,2025-08-06,974.6,936.3968666666667,10,-3.919878240645733
WINDLAS.NS,15,2025-08-13,2025-08-28,1057.25,962.1536026450458,10,-8.994693530854027
